fecha,fecha_original_cammesa,demHoy,cloudcover,pressure_msl,precipitation,temperature_2m,wind_speed_10m,wind_direction_10m,relative_humidity_2m,dem
2025-08-03 00:00:00-03:00,2025-08-03 00:00:00-03:00,,100,1017.2,0.0,11.6,12.7,238,82,412.0
2025-08-03 01:00:00-03:00,2025-08-03 01:00:00-03:00,,99,1017.3,0.0,11.6,12.2,243,77,391.0
2025-08-03 02:00:00-03:00,2025-08-03 02:00:00-03:00,,100,1018.2,0.0,11.3,12.0,246,74,363.0
2025-08-03 03:00:00-03:00,2025-08-03 03:00:00-03:00,,100,1018.6,0.0,11.3,13.0,245,71,355.0
2025-08-03 04:00:00-03:00,2025-08-03 04:00:00-03:00,,69,1019.2,0.0,10.9,13.1,236,70,341.0
2025-08-03 05:00:00-03:00,2025-08-03 05:00:00-03:00,,10,1019.5,0.0,9.9,9.8,227,70,336.0
2025-08-03 06:00:00-03:00,2025-08-03 06:00:00-03:00,,8,1019.6,0.0,9.1,8.9,214,68,336.0
2025-08-03 07:00:00-03:00,2025-08-03 07:00:00-03:00,,1,1020.4,0.0,8.3,6.6,221,69,346.0
2025-08-03 08:00:00-03:00,2025-08-03 08:00:00-03:00,,0,1020.8,0.0,8.1,7.2,217,67,334.0
2025-08-03 09:00:00-03:00,2025-08-03 09:00:00-03:00,,0,1021.4,0.0,9.3,8.9,204,63,353.0
2025-08-03 10:00:00-03:00,2025-08-03 10:00:00-03:00,,0,1020.8,0.0,11.8,6.5,194,60,378.0
2025-08-03 11:00:00-03:00,2025-08-03 11:00:00-03:00,,0,1021.6,0.0,13.6,6.6,201,52,374.0
2025-08-03 12:00:00-03:00,2025-08-03 12:00:00-03:00,,0,1021.8,0.0,15.3,4.9,204,43,372.0
2025-08-03 13:00:00-03:00,2025-08-03 13:00:00-03:00,,0,1021.7,0.0,16.3,4.2,198,38,351.0
2025-08-03 14:00:00-03:00,2025-08-03 14:00:00-03:00,,5,1021.6,0.0,16.7,4.2,200,36,337.0
2025-08-03 15:00:00-03:00,2025-08-03 15:00:00-03:00,,94,1022.1,0.0,16.7,4.9,208,35,335.0
2025-08-03 16:00:00-03:00,2025-08-03 16:00:00-03:00,,100,1022.2,0.0,16.1,3.1,204,37,332.0
2025-08-03 17:00:00-03:00,2025-08-03 17:00:00-03:00,,100,1022.4,0.0,14.9,1.8,294,47,338.0
2025-08-03 18:00:00-03:00,2025-08-03 18:00:00-03:00,,85,1022.9,0.0,13.0,0.6,342,63,379.0
2025-08-03 19:00:00-03:00,2025-08-03 19:00:00-03:00,,24,1023.3,0.0,11.3,2.3,241,67,457.0
2025-08-03 20:00:00-03:00,2025-08-03 20:00:00-03:00,,12,1023.7,0.0,10.1,4.6,211,71,504.0
2025-08-03 21:00:00-03:00,2025-08-03 21:00:00-03:00,,83,1024.0,0.0,9.5,5.5,207,72,525.0
2025-08-03 22:00:00-03:00,2025-08-03 22:00:00-03:00,,100,1025.5,0.0,9.2,6.4,234,68,516.0
2025-08-03 23:00:00-03:00,2025-08-03 23:00:00-03:00,,100,1025.7,0.0,9.0,7.6,248,66,493.0
2025-08-04 00:00:00-03:00,2025-08-04 00:00:00-03:00,,100,1025.6,0.0,8.9,7.6,273,63,449.0
2025-08-04 01:00:00-03:00,2025-08-04 01:00:00-03:00,,100,1025.5,0.0,9.5,9.7,260,55,415.0
2025-08-04 02:00:00-03:00,2025-08-04 02:00:00-03:00,,20,1025.9,0.0,9.4,12.8,235,49,402.0
2025-08-04 03:00:00-03:00,2025-08-04 03:00:00-03:00,,1,1026.4,0.0,8.4,13.9,218,49,372.0
2025-08-04 04:00:00-03:00,2025-08-04 04:00:00-03:00,,29,1027.4,0.0,7.2,12.8,208,54,369.0
2025-08-04 05:00:00-03:00,2025-08-04 05:00:00-03:00,,17,1027.8,0.0,6.6,12.5,208,56,367.0
2025-08-04 06:00:00-03:00,2025-08-04 06:00:00-03:00,,79,1028.3,0.0,6.4,12.2,206,57,378.0
2025-08-04 07:00:00-03:00,2025-08-04 07:00:00-03:00,,99,1028.9,0.0,6.5,13.2,202,57,450.0
2025-08-04 08:00:00-03:00,2025-08-04 08:00:00-03:00,,98,1029.5,0.0,6.8,11.0,199,57,448.0
2025-08-04 09:00:00-03:00,2025-08-04 09:00:00-03:00,,79,1030.2,0.0,7.6,9.9,199,59,467.0
2025-08-04 10:00:00-03:00,2025-08-04 10:00:00-03:00,,1,1031.1,0.0,9.7,8.5,201,58,472.0
2025-08-04 11:00:00-03:00,2025-08-04 11:00:00-03:00,,0,1031.6,0.0,11.4,8.5,204,55,470.0
2025-08-04 12:00:00-03:00,2025-08-04 12:00:00-03:00,,0,1031.7,0.0,12.6,9.4,198,51,458.0
2025-08-04 13:00:00-03:00,2025-08-04 13:00:00-03:00,,0,1031.4,0.0,13.4,9.3,202,46,442.0
2025-08-04 14:00:00-03:00,2025-08-04 14:00:00-03:00,,0,1031.1,0.0,13.7,9.5,212,44,424.0
2025-08-04 15:00:00-03:00,2025-08-04 15:00:00-03:00,,0,1030.8,0.0,13.6,10.3,215,45,415.0
