fecha,fecha_original_cammesa,demHoy,cloudcover,pressure_msl,precipitation,temperature_2m,wind_speed_10m,wind_direction_10m,relative_humidity_2m,dem
2025-08-03 00:00:00-03:00,2025-08-03 00:00:00-03:00,,97,1017.5,0.0,12.9,10.7,225,77,2852.0
2025-08-03 01:00:00-03:00,2025-08-03 01:00:00-03:00,,100,1017.9,0.0,12.5,10.9,234,75,2640.0
2025-08-03 02:00:00-03:00,2025-08-03 02:00:00-03:00,,98,1018.5,0.0,12.4,11.3,234,72,2457.0
2025-08-03 03:00:00-03:00,2025-08-03 03:00:00-03:00,,100,1019.2,0.0,11.8,11.0,236,71,2318.0
2025-08-03 04:00:00-03:00,2025-08-03 04:00:00-03:00,,56,1019.5,0.0,11.4,10.1,226,71,2248.0
2025-08-03 05:00:00-03:00,2025-08-03 05:00:00-03:00,,27,1019.7,0.0,10.5,7.8,212,71,2195.0
2025-08-03 06:00:00-03:00,2025-08-03 06:00:00-03:00,,3,1019.9,0.0,9.5,6.5,210,71,2200.0
2025-08-03 07:00:00-03:00,2025-08-03 07:00:00-03:00,,0,1020.5,0.0,8.8,5.9,194,70,2262.0
2025-08-03 08:00:00-03:00,2025-08-03 08:00:00-03:00,,0,1021.0,0.0,8.8,6.6,191,67,2261.0
2025-08-03 09:00:00-03:00,2025-08-03 09:00:00-03:00,,0,1021.4,0.0,10.0,8.9,188,64,2455.0
2025-08-03 10:00:00-03:00,2025-08-03 10:00:00-03:00,,0,1021.1,0.0,11.8,7.1,195,66,2626.0
2025-08-03 11:00:00-03:00,2025-08-03 11:00:00-03:00,,0,1021.8,0.0,13.2,4.0,175,58,2671.0
2025-08-03 12:00:00-03:00,2025-08-03 12:00:00-03:00,,0,1022.1,0.0,14.3,1.5,135,52,2651.0
2025-08-03 13:00:00-03:00,2025-08-03 13:00:00-03:00,,0,1022.3,0.0,15.2,1.1,270,49,2628.0
2025-08-03 14:00:00-03:00,2025-08-03 14:00:00-03:00,,54,1021.7,0.0,15.9,3.8,177,47,2567.0
2025-08-03 15:00:00-03:00,2025-08-03 15:00:00-03:00,,91,1022.1,0.0,16.5,4.9,176,41,2482.0
2025-08-03 16:00:00-03:00,2025-08-03 16:00:00-03:00,,99,1022.1,0.0,16.1,2.9,94,43,2471.0
2025-08-03 17:00:00-03:00,2025-08-03 17:00:00-03:00,,100,1022.4,0.0,14.9,2.3,61,63,2537.0
2025-08-03 18:00:00-03:00,2025-08-03 18:00:00-03:00,,98,1022.9,0.0,13.3,1.4,140,77,2692.0
2025-08-03 19:00:00-03:00,2025-08-03 19:00:00-03:00,,4,1023.3,0.0,12.4,5.1,190,66,3204.0
2025-08-03 20:00:00-03:00,2025-08-03 20:00:00-03:00,,13,1023.6,0.0,12.3,10.2,188,57,3490.0
2025-08-03 21:00:00-03:00,2025-08-03 21:00:00-03:00,,100,1024.1,0.0,11.3,7.3,189,61,3644.0
2025-08-03 22:00:00-03:00,2025-08-03 22:00:00-03:00,,100,1025.8,0.0,10.6,8.6,196,57,3591.0
2025-08-03 23:00:00-03:00,2025-08-03 23:00:00-03:00,,100,1026.1,0.0,10.5,5.7,208,59,3389.0
2025-08-04 00:00:00-03:00,2025-08-04 00:00:00-03:00,,100,1026.1,0.0,9.9,6.1,220,59,3072.0
2025-08-04 01:00:00-03:00,2025-08-04 01:00:00-03:00,,100,1025.9,0.0,9.9,7.3,232,56,2771.0
2025-08-04 02:00:00-03:00,2025-08-04 02:00:00-03:00,,56,1026.0,0.0,10.2,9.5,237,53,2567.0
2025-08-04 03:00:00-03:00,2025-08-04 03:00:00-03:00,,96,1026.3,0.0,9.5,9.8,227,53,2468.0
2025-08-04 04:00:00-03:00,2025-08-04 04:00:00-03:00,,24,1027.3,0.0,9.6,11.3,211,51,2428.0
2025-08-04 05:00:00-03:00,2025-08-04 05:00:00-03:00,,84,1027.8,0.0,8.4,12.7,198,54,2484.0
2025-08-04 06:00:00-03:00,2025-08-04 06:00:00-03:00,,100,1028.4,0.0,8.0,11.1,202,56,2675.0
2025-08-04 07:00:00-03:00,2025-08-04 07:00:00-03:00,,1,1029.0,0.0,8.2,10.9,200,56,3172.0
2025-08-04 08:00:00-03:00,2025-08-04 08:00:00-03:00,,11,1029.7,0.0,7.2,9.1,194,59,3274.0
2025-08-04 09:00:00-03:00,2025-08-04 09:00:00-03:00,,13,1030.4,0.0,7.9,8.2,194,60,3487.0
2025-08-04 10:00:00-03:00,2025-08-04 10:00:00-03:00,,9,1031.4,0.0,10.2,7.9,193,58,3606.0
2025-08-04 11:00:00-03:00,2025-08-04 11:00:00-03:00,,0,1031.7,0.0,11.6,6.7,188,56,3641.0
