fecha,fecha_original_cammesa,demHoy,cloudcover,pressure_msl,precipitation,temperature_2m,wind_speed_10m,wind_direction_10m,relative_humidity_2m,dem
2025-08-03 00:00:00-03:00,2025-08-03 00:00:00-03:00,,98,1017.5,0.0,12.3,7.6,232,78,2321.0
2025-08-03 01:00:00-03:00,2025-08-03 01:00:00-03:00,,95,1017.9,0.0,11.6,6.3,252,78,2164.0
2025-08-03 02:00:00-03:00,2025-08-03 02:00:00-03:00,,100,1018.6,0.0,11.5,6.2,253,75,2024.0
2025-08-03 03:00:00-03:00,2025-08-03 03:00:00-03:00,,100,1019.2,0.0,11.0,6.7,246,74,1917.0
2025-08-03 04:00:00-03:00,2025-08-03 04:00:00-03:00,,90,1019.5,0.0,10.6,6.4,225,73,1846.0
2025-08-03 05:00:00-03:00,2025-08-03 05:00:00-03:00,,12,1019.7,0.0,9.6,6.1,203,72,1813.0
2025-08-03 06:00:00-03:00,2025-08-03 06:00:00-03:00,,10,1019.9,0.0,8.9,5.8,202,71,1802.0
2025-08-03 07:00:00-03:00,2025-08-03 07:00:00-03:00,,0,1020.5,0.0,8.1,5.4,201,71,1850.0
2025-08-03 08:00:00-03:00,2025-08-03 08:00:00-03:00,,0,1021.1,0.0,7.8,5.4,201,70,1832.0
2025-08-03 09:00:00-03:00,2025-08-03 09:00:00-03:00,,0,1021.4,0.0,9.5,7.4,194,63,1984.0
2025-08-03 10:00:00-03:00,2025-08-03 10:00:00-03:00,,0,1021.1,0.0,11.7,4.1,214,61,2105.0
2025-08-03 11:00:00-03:00,2025-08-03 11:00:00-03:00,,0,1021.7,0.0,13.5,3.2,180,53,2161.0
2025-08-03 12:00:00-03:00,2025-08-03 12:00:00-03:00,,0,1022.0,0.0,15.1,1.8,180,46,2153.0
2025-08-03 13:00:00-03:00,2025-08-03 13:00:00-03:00,,0,1022.2,0.0,16.3,2.6,205,40,2125.0
2025-08-03 14:00:00-03:00,2025-08-03 14:00:00-03:00,,94,1021.8,0.0,17.1,5.2,194,35,2095.0
2025-08-03 15:00:00-03:00,2025-08-03 15:00:00-03:00,,99,1022.1,0.0,17.3,6.8,191,33,2044.0
2025-08-03 16:00:00-03:00,2025-08-03 16:00:00-03:00,,100,1022.2,0.0,16.7,8.6,188,33,2027.0
2025-08-03 17:00:00-03:00,2025-08-03 17:00:00-03:00,,100,1022.5,0.0,16.0,7.6,188,36,2086.0
2025-08-03 18:00:00-03:00,2025-08-03 18:00:00-03:00,,90,1023.0,0.0,14.0,5.3,188,51,2190.0
2025-08-03 19:00:00-03:00,2025-08-03 19:00:00-03:00,,3,1023.5,0.0,12.8,6.0,201,56,2549.0
2025-08-03 20:00:00-03:00,2025-08-03 20:00:00-03:00,,24,1023.7,0.0,11.3,5.8,202,61,2740.0
2025-08-03 21:00:00-03:00,2025-08-03 21:00:00-03:00,,99,1024.1,0.0,10.4,5.4,200,65,2879.0
2025-08-03 22:00:00-03:00,2025-08-03 22:00:00-03:00,,100,1025.9,0.0,9.9,6.0,207,60,2842.0
2025-08-03 23:00:00-03:00,2025-08-03 23:00:00-03:00,,100,1026.1,0.0,9.9,4.7,227,60,2729.0
2025-08-04 00:00:00-03:00,2025-08-04 00:00:00-03:00,,100,1026.1,0.0,9.0,4.0,262,64,2475.0
2025-08-04 01:00:00-03:00,2025-08-04 01:00:00-03:00,,100,1025.9,0.0,9.7,5.2,266,58,2242.0
2025-08-04 02:00:00-03:00,2025-08-04 02:00:00-03:00,,16,1026.1,0.0,9.8,7.3,240,52,2080.0
2025-08-04 03:00:00-03:00,2025-08-04 03:00:00-03:00,,15,1026.4,0.0,9.1,8.6,219,49,1988.0
2025-08-04 04:00:00-03:00,2025-08-04 04:00:00-03:00,,73,1027.5,0.0,8.5,10.8,198,50,1956.0
2025-08-04 05:00:00-03:00,2025-08-04 05:00:00-03:00,,97,1028.0,0.0,7.8,8.7,197,55,1969.0
2025-08-04 06:00:00-03:00,2025-08-04 06:00:00-03:00,,100,1028.5,0.0,7.6,7.1,201,56,2128.0
2025-08-04 07:00:00-03:00,2025-08-04 07:00:00-03:00,,16,1029.1,0.0,7.4,7.8,202,57,2530.0
2025-08-04 08:00:00-03:00,2025-08-04 08:00:00-03:00,,2,1029.7,0.0,6.3,6.2,197,61,2631.0
2025-08-04 09:00:00-03:00,2025-08-04 09:00:00-03:00,,49,1030.4,0.0,7.7,7.3,196,57,2803.0
2025-08-04 10:00:00-03:00,2025-08-04 10:00:00-03:00,,9,1031.4,0.0,10.4,5.8,200,55,2914.0
2025-08-04 11:00:00-03:00,2025-08-04 11:00:00-03:00,,0,1031.7,0.0,12.1,5.4,200,52,2961.0
2025-08-04 12:00:00-03:00,2025-08-04 12:00:00-03:00,,0,1031.8,0.0,13.4,6.4,191,48,2899.0
2025-08-04 13:00:00-03:00,2025-08-04 13:00:00-03:00,,1,1031.6,0.0,14.1,7.9,192,42,2791.0
2025-08-04 14:00:00-03:00,2025-08-04 14:00:00-03:00,,0,1031.2,0.0,14.5,7.0,203,39,2736.0
2025-08-04 15:00:00-03:00,2025-08-04 15:00:00-03:00,,0,1030.9,0.0,14.5,7.4,214,38,2645.0
2025-08-04 16:00:00-03:00,2025-08-04 16:00:00-03:00,,0,1030.5,0.0,14.2,7.9,215,39,2615.0
2025-08-04 17:00:00-03:00,2025-08-04 17:00:00-03:00,,0,1030.7,0.0,13.5,8.2,202,44,2565.0
2025-08-04 18:00:00-03:00,2025-08-04 18:00:00-03:00,,0,1031.0,0.0,11.6,5.7,189,57,2647.0
2025-08-04 19:00:00-03:00,2025-08-04 19:00:00-03:00,,0,1031.4,0.0,10.1,6.1,180,67,2991.0
2025-08-04 20:00:00-03:00,2025-08-04 20:00:00-03:00,,0,1031.6,0.0,9.2,5.7,167,73,3231.0
2025-08-04 21:00:00-03:00,2025-08-04 21:00:00-03:00,,0,1032.0,0.0,8.6,8.1,148,74,3368.0
2025-08-04 22:00:00-03:00,2025-08-04 22:00:00-03:00,,0,1032.6,0.0,8.0,6.6,137,76,3298.0
2025-08-04 23:00:00-03:00,2025-08-04 23:00:00-03:00,,0,1032.8,0.0,7.3,6.2,123,80,3137.0
2025-08-05 00:00:00-03:00,2025-08-05 00:00:00-03:00,,0,1033.4,0.0,6.7,6.8,112,82,2836.0
2025-08-05 01:00:00-03:00,2025-08-05 01:00:00-03:00,,0,1033.1,0.0,6.3,6.8,102,83,2560.0
2025-08-05 02:00:00-03:00,2025-08-05 02:00:00-03:00,,0,1033.2,0.0,5.7,5.2,86,85,2367.0
