id,name,height,weight,base_experience,generation,is_legendary,type_1,type_2,hp,attack,defense,special-attack,special-defense,speed
1,bulbasaur,7,69,64,generation-i,False,grass,poison,45,49,49,65,65,45
2,ivysaur,10,130,142,generation-i,False,grass,poison,60,62,63,80,80,60
3,venusaur,20,1000,236,generation-i,False,grass,poison,80,82,83,100,100,80
4,charmander,6,85,62,generation-i,False,fire,,39,52,43,60,50,65
5,charmeleon,11,190,142,generation-i,False,fire,,58,64,58,80,65,80
6,charizard,17,905,240,generation-i,False,fire,flying,78,84,78,109,85,100
7,squirtle,5,90,63,generation-i,False,water,,44,48,65,50,64,43
8,wartortle,10,225,142,generation-i,False,water,,59,63,80,65,80,58
9,blastoise,16,855,239,generation-i,False,water,,79,83,100,85,105,78
10,caterpie,3,29,39,generation-i,False,bug,,45,30,35,20,20,45
11,metapod,7,99,72,generation-i,False,bug,,50,20,55,25,25,30
12,butterfree,11,320,178,generation-i,False,bug,flying,60,45,50,90,80,70
13,weedle,3,32,39,generation-i,False,bug,poison,40,35,30,20,20,50
14,kakuna,6,100,72,generation-i,False,bug,poison,45,25,50,25,25,35
15,beedrill,10,295,178,generation-i,False,bug,poison,65,90,40,45,80,75
16,pidgey,3,18,50,generation-i,False,normal,flying,40,45,40,35,35,56
17,pidgeotto,11,300,122,generation-i,False,normal,flying,63,60,55,50,50,71
18,pidgeot,15,395,216,generation-i,False,normal,flying,83,80,75,70,70,101
19,rattata,3,35,51,generation-i,False,normal,,30,56,35,25,35,72
20,raticate,7,185,145,generation-i,False,normal,,55,81,60,50,70,97
21,spearow,3,20,52,generation-i,False,normal,flying,40,60,30,31,31,70
22,fearow,12,380,155,generation-i,False,normal,flying,65,90,65,61,61,100
23,ekans,20,69,58,generation-i,False,poison,,35,60,44,40,54,55
24,arbok,35,650,157,generation-i,False,poison,,60,95,69,65,79,80
25,pikachu,4,60,112,generation-i,False,electric,,35,55,40,50,50,90
26,raichu,8,300,218,generation-i,False,electric,,60,90,55,90,80,110
